,input,acp,output,origin
413,"Some even wear army uniforms to pass themselves off as soldiers , and enter and steal from the camps .",0,{decision: allow; subject: some; action: wear; resource: army uniform; condition: even; purpose: to pass themselves off as soldiers | decision: allow; subject: some; action: wear; resource: army uniform; condition: even; purpose: to enter camps | decision: allow; subject: some; action: wear; resource: army uniform; condition: even; purpose: to steal from camps},na
414,UC4 Enter or Edit Demographics Use Case,0,{decision: allow; subject: uc4; action: enter; resource: demographic information; condition: none; purpose: none},na
415,"In an electronic system, we cannot allow residents to connect to the network at any time, as long as they can only view their own data and not make arbitrary changes.",1,{decision: deny; subject: residents; action: connect; resource: network; purpose: none; condition: they can only view their own data and not make arbitrary changes},collected_train
416,"When TCAC puts on an activity , for example , if someone notices that an event organizer is getting thirsty they will immediately bring him a bottle of mineral water .",0,{decision: allow; subject: none; action: bring; resource: bottle of mineral water; condition: if someone notices that an event organizer is getting thirsty; purpose: none},na
417,Course offerings that do not have enough students are cancelled.,0,{decision: allow; subject: none; action: cancel; resource: course offerings that do not have enough students; condition: none; purpose: none},na
418,doctors additionally should not provide specific notes about every resident.,1,{decision: deny; subject: doctors; action: provide; resource: specific notes about every resident; purpose: none; condition: none},collected_train
419,The table of contents and author index of the proceedings are generated by CyberChair and the camera-ready papers are prepared for electronic delivery to the publisher.,1,{decision: allow; subject: cyberchair; action: generate; resource: table of content; purpose: none; condition: none | decision: allow; subject: cyberchair; action: generate; resource: author index; purpose: none; condition: none | decision: allow; subject: cyberchair; action: prepare; resource: camera-ready paper; purpose: electronic delivery to the publisher; condition: none},cyber
420,"To control open connections to the database, all database access should be done through an object that uses the Singleton pattern.",0,{decision: allow; subject: none; action: control; resource: database access; condition: none; purpose: none},na
421,"In the 19th century , companies in the ice business would send people to frozen lakes or rivers to saw up the ice .",0,{decision: allow; subject: companies in the ice business; action: send; resource: people; condition: none; purpose: to saw up the ice},na
422,President Clinton heads to Northern Ireland late Monday on what may be his final overseas trip before leaving the White House in January .,0,{decision: allow; subject: president; action: head; resource: northern ireland; condition: none; purpose: on what may be his final overseas trip before leaving the white house in january},na
423,"If you'd like to use CyberChair, but would rather not be bugged by installing and customizing CyberChair yourself (and use the latest, greatest version of CyberChairPRO, which is easier to work with, which has more tools, and streamlined versions of existing tools), you might want to consider delegating the submission and review process organization to a spin-off company specialized in managing this process, set up by the author of CyberChair: Borbala Online Conference Services.",0,{decision: allow; subject: cyberchair; action: assign; resource: submission; condition: none; purpose: none},na
424,"The patient, UAP, or personal representative enters a systolic blood pressure outside the range 40-240 or a diastolic blood pressure outside the range 40-150.",1,{decision: allow; subject: patient; action: enter; resource: systolic blood pressure; purpose: none; condition: none | decision: allow; subject: patient; action: enter; resource: diastolic blood pressure; purpose: none; condition: none | decision: allow; subject: uap; action: enter; resource: systolic blood pressure; purpose: none; condition: none | decision: allow; subject: uap; action: enter; resource: diastolic blood pressure; purpose: none; condition: none | decision: allow; subject: personal representative; action: enter; resource: systolic blood pressure; purpose: none; condition: none | decision: allow; subject: personal representative; action: enter; resource: diastolic blood pressure; purpose: none; condition: none},acre
425,He wrote that to further his gang connections /.,0,{decision: allow; subject: he; action: write; resource: gang connections; condition: none; purpose: to further his gang connections},na
426,System presents a list of pending referrals.,1,{decision: allow; subject: system; action: present; resource: list of pending referrals; purpose: none; condition: none},t2p
427,"The LHCP requests a comprehensive report for all patients with a specified gender, age, and diagnosis .",1,{decision: allow; subject: lhcp; action: request; resource: report; purpose: none; condition: none},acre
428,"Shi Tao made a general recording of the notification , and sent the information via his Yahoo email to a friend from the Overseas Democratic Net Communications , notifying democratic activists not to return home around the anniversary of the June 4 so as to avoid being arrested .",0,{decision: allow; subject: shi tao; action: make; resource: general recording of the notification; condition: none; purpose: none | decision: allow; subject: shi tao; action: send; resource: information via his yahoo email; condition: notifying democratic activists not to return home around the anniversary of the june 4 so as to avoid being arrested; purpose: none},na
429,An HCP edits an office visit.,1,{decision: allow; subject: hcp; action: edit; resource: office visit; purpose: none; condition: none},t2p
430,The registrar’s office will continue to maintain course information through another system.,0,{decision: allow; subject: registrar; action: maintain; resource: course information; condition: none; purpose: none},na
431,"The Islamic Courts announced that they will modify their military tactics and will push their ground forces to the front line for a sweeping attack against Ethiopian forces starting on Saturday , instead of long distance fighting with heavy weaponry which has been the technique used until now .",0,{decision: allow; subject: islamic courts; action: modify; resource: military tactics; condition: instead of long distance fighting with heavy weaponry which has been the technique used until now; purpose: none | decision: allow; subject: islamic courts; action: push; resource: ground forces; condition: instead of long distance fighting with heavy weaponry which has been the technique used until now; purpose: for a sweeping attack against ethiopian forces},na
432,The administrator will maintain  a listing of allowable drugs that an HCP can use.,1,{decision: allow; subject: administrator; action: maintain; resource: listing of allowable drugs; purpose: none; condition: none},acre
434,"every professor, but not the students, can review a work.",1,{decision: allow; subject: professor; action: review; resource: work; purpose: none; condition: none | decision: deny; subject: students; action: review; resource: work; purpose: none; condition: none},collected_train
435,"The patient or personal health representative can see an abbreviated health history of their siblings, parents, and both sets of grandparents for which MIDs are available in iTrust.",1,{decision: allow; subject: patient; action: see; resource: health history of their siblings; purpose: none; condition: none | decision: allow; subject: patient; action: see; resource: health history of both sets of grandparents; purpose: none; condition: none | decision: allow; subject: patient; action: see; resource: health history of their parents; purpose: none; condition: none | decision: allow; subject: personal health representative; action: see; resource: health history of their siblings; purpose: none; condition: none | decision: allow; subject: personal health representative; action: see; resource: health history of both sets of grandparents; purpose: none; condition: none | decision: allow; subject: personal health representative; action: see; resource: health history of their parents; purpose: none; condition: none},acre
438,The maintainer should make sure that enough disk space is available to store the papers.,1,{decision: allow; subject: maintainer; action: make; resource: disk space; condition: none; purpose: none},cyber
439,The patient can choose to click this link.,1,{decision: allow; subject: patient; action: click; resource: link; condition: none; purpose: none},acre
441,Graph theory (nodes with labeled edges) is used to solve this assignment problem.,0,{decision: allow; subject: graphists; action: solve; resource: assignment problem; condition: none; purpose: none},na
442,A patient or personal representative may view medical records including family history.,1,{decision: allow; subject: patient; action: view; resource: medical record; purpose: none; condition: none | decision: allow; subject: personal representative; action: view; resource: medical record; purpose: none; condition: none},t2p
443,A reviewer of a work may resign unless he has already appointed a sub-reviewer for the work.,1,{decision: deny; subject: reviewer of a work; action: resign; resource: none; purpose: none; condition: he has already appointed a sub-reviewer for the work},collected_train
444,"This campaign broke through the Japanese army 's blockade to reach base areas behind enemy lines , stirring up anti-Japanese spirit throughout the nation and influencing the situation of the anti-fascist war of the people worldwide .",0,{decision: allow; subject: campaign; action: break; resource: japanese army; condition: none; purpose: reach base areas behind enemy lines},na
445,"Therefore, a template is provided to the reviewers which they can use to fill in reviews off-line and send them by email.",0,{decision: allow; subject: none; action: provide; resource: template; condition: none; purpose: none},na
447,"If a patient or personal health representative has not taken an office visit satisfaction survey for an office visit yet, the patient may also not review the survey for an alternate visit ( if that survey has finally been taken, its patient or personal health representative will not have the ability to perform the survey) ( below ).",1,{decision: deny; subject: patient; action: review; resource: survey; purpose: alternate visit; condition: patient or personal health representative has not taken an office visit satisfaction survey for an office visit yet | decision: deny; subject: patient; action: perform; resource: survey; purpose: none; condition: survey has finally been taken | decision: deny; subject: personal health representative; action: perform; resource: survey; purpose: none; condition: survey has finally been taken},collected_train
448,"Political parties become liable for the records of their candidates and face fines of NT$ 500,000 to NT$ 5 million if they nominate candidates who have prior convictions for electoral fraud or election violence .",0,{decision: allow; subject: political parties; action: become liable; resource: records of their candidates; condition: none; purpose: none | decision: allow; subject: political parties; action: face; resource: fines; condition: if they nominate candidates who have prior convictions for electoral fraud or election violence; purpose: none},na
449,"The sending HCP then chooses a priority from 1-3 (1 is most important, 3 is least important) for the referral.",1,{decision: allow; subject: hcp; action: choose; resource: priority; purpose: none; condition: none},acre
450,"Through your electronic system, it is not allowed residents to connect to my network as long as they want.",1,{decision: deny; subject: residents; action: connect; resource: network; purpose: none; condition: none},collected_train
451,System presents a list of his messages in the message inbox.,1,{decision: allow; subject: system; action: present; resource: list of his messages; purpose: none; condition: none},t2p
452,"For the most recent details , we will now connect to Phoenix Satellite TV 's reporter in Beijing , Qin Feng .",0,{decision: allow; subject: none; action: connect; resource: phoenix satellite tv reporter; condition: none; purpose: for the most recent details},na
453,"Managers can pay and fire ordinary employees, but not those at certain companies or the director.",1,{decision: allow; subject: managers; action: pay; resource: ordinary employees; purpose: none; condition: none | decision: allow; subject: managers; action: fire; resource: ordinary employees; purpose: none; condition: none | decision: deny; subject: managers; action: pay; resource: director; purpose: none; condition: none | decision: deny; subject: managers; action: fire; resource: director; purpose: none; condition: none},collected_train
454,"Starting in an advertising agency as an account assistant , she climbed straight up the ranks to become the highest - ranking female executive in Taiwan 's advertising industry , impressing colleagues with her competence and talents .",0,"{decision: allow; subject: start in an advertising agency as an account assistant; action: climb; resource: highest-ranking female executive in taiwan; condition: none; purpose: ""to become the highest - ranking female executive in taiwan s advertising industry impressing colleagues with her competence and talents""}",na
455,"But you 've got to find a way to get everybody working together so you can actually get something done , otherwise all talk about local affairs wo n't amount to anything more than people doing a bit of idle chatting and complaining around the dinner table . """,0,{decision: allow; subject: you; action: find; resource: way; condition: none; purpose: so you can actually get something done},na
456,Lawyers for the three men arrested with him say they need that much time to go over the government 's evidence and prepare their case .,0,"{decision: allow; subject: lawyers for the three men arrested with him; action: need; resource: much time; condition: none; purpose: ""to go over the government s evidence and prepare their case""}",na
457,Doctors may also add private information about a resident that cannot be written by medical training assistants.,1,{decision: allow; subject: doctors; action: add; resource: private information about a resident; purpose: none; condition: none | decision: deny; subject: medical training assistant; action: write; resource: private information about a resident; purpose: none; condition: none},collected_train
458,A PC member can resign his membership.,1,{decision: allow; subject: pc member; action: resign; resource: membership; purpose: none; condition: none},collected
459,The maintainer (who might be the same person as the PCC) installs CyberChair.,0,{decision: allow; subject: maintainer; action: install; resource: cyberchair; condition: none; purpose: none},na
462,"Sharon has told reporters that he will not honor any deal made before the election if he wins , and declared that the Oslo Accord is an agreement that no longer exists , giving the reason for fighting that has claimed more than 360 lives .",0,{decision: allow; subject: sharon; action: honor; resource: any deal made before the election; condition: if he wins; purpose: none},na
463,The HCP types an invalid medical identification number and is prompted to try again.,1,{decision: allow; subject: hcp; action: type; resource: invalid medical identification number; condition: none; purpose: none | decision: allow; subject: hcp; action: try; resource: again; condition: none; purpose: none},acre
464,"As soon as the full paper deadline has passed, the papers can be assigned to the reviewers.",1,{decision: allow; subject: none; action: assign; resource: paper; purpose: none; condition: none},cyber
465,There are no chosen measurements recorded within a quarter.,0,{decision: allow; subject: none; action: record; resource: chosen measurements; condition: none; purpose: none},na
466,"If a patient or Personal Progress Officer has completed only one survey on satisfaction with the doctor's visit as an office assignment, the patient may not complete the survey during a visit to the doctor.",1,"{decision: deny; subject: patient; action: complete; resource: survey; purpose: none; condition: ""patient or Personal Progress Officer has completed only one survey on satisfaction with the doctors visit as an office assignment""}",collected_train
467," ""Only users with the role of 'supervisor' can create new project tasks.""",1,{decision: allow; subject: users with the role of supervisor; action: create; resource: new project tasks; condition: none; purpose: none},collected_train
468,A patient may view his or her own lab procedure results .,1,{decision: allow; subject: patient; action: view; resource: lab procedure result; purpose: none; condition: none},acre
469,A set of reasons for ignoring a reaction warning and prescribing a medication anyways.,0,{decision: allow; subject: none; action: prescribe; resource: medication; condition: anyways; purpose: none | decision: allow; subject: none; action: ignore; resource: reaction warning; condition: none; purpose: none},na
470,"Doctors also cannot make private notes about the resident that, same as doctor-patient interactions, are not visible to the staff of specialized services.",1,{decision: deny; subject: doctors; action: make; resource: private notes about the resident; purpose: none; condition: none | decision: deny; subject: staff of specialized services; action: view; resource: doctor-patient interactions; purpose: none; condition: none},collected_train
471,"An administrator enters a LHCP, an ER, or a public healh agent.",1,{decision: allow; subject: administrator; action: enter; resource: lhcp; purpose: none; condition: none | decision: allow; subject: administrator; action: enter; resource: er; purpose: none; condition: none | decision: allow; subject: administrator; action: enter; resource: public health agent; purpose: none; condition: none},t2p
472,These are the standards codes used within iTrust:.,0,{decision: allow; subject: none; action: use; resource: standards codes; condition: none; purpose: none},na
473,"Of these , 18 who may have been exposed to polonium were sent to special medical institutes for examination ; but 29 of the urine samples have all indicated negative results .",0,{decision: allow; subject: none; action: send; resource: 18 who may have been exposed to polonium; condition: none; purpose: for examination},na
474,The system requests that the Registrar enter the professor id.,1,{decision: allow; subject: registrar; action: enter; resource: professor id; purpose: none; condition: none},ibm
475,A patient can select to report physiologic measurements for those whose at least one physiologic data type is specified to be under monitoring and for whom he or she is a patient representative.,1,{decision: allow; subject: patient; action: report; resource: physiologic measurement; purpose: none; condition: none},acre
476,"A patient, patient representative, or LHCP clicks this number to view his message inbox.",1,{decision: allow; subject: patient; action: click; resource: number; purpose: view his message inbox; condition: none | decision: allow; subject: patient representative; action: click; resource: number; purpose: view his message inbox; condition: none | decision: allow; subject: lhcp; action: click; resource: number; purpose: view his message inbox; condition: none},t2p
477,"When viewing the calendar, the user selects an appointment from the list to read comment by clicking the 'Read Comments' link beside the row for the appointment, and then the comment for the appointment shall be displayed in a new page .",1,{decision: allow; subject: user; action: select; resource: appointment; purpose: read comment; condition: none | decision: allow; subject: user; action: read; resource: comment; purpose: none; condition: none | decision: allow; subject: user; action: click; resource: read comments link; purpose: none; condition: none | decision: allow; subject: none; action: display; resource: comment; purpose: none; condition: none},acre
478,"The top frame, containing the paper numbers in colored boxes, is updated every 5 minutes by using a so-called meta tag containing the ’refresh’ option.",0,{decision: allow; subject: none; action: update; resource: top frame; condition: none; purpose: none},na
479,A public health agent sees trends in adverse events relate to prescription drugs or immunizations.,1,{decision: allow; subject: public health agent; action: see; resource: trends in adverse events related to prescription drugs; purpose: none; condition: none | decision: allow; subject: public health agent; action: see; resource: trends in adverse events related to immunizations; purpose: none; condition: none},t2p
480,"In case the ’expertise-value’ is equal, the reviewer with the least number of papers assigned so far ’gets’ the paper.",1,{decision: allow; subject: reviewer; action: get; resource: paper; purpose: none; condition: ’expertise-value’ is equal},cyber
481,System presents a listing of patients for whom they are a DLHCP who need care because of satisfying the one of preceding conditions.,1,{decision: allow; subject: system; action: present; resource: listing of patients; purpose: none; condition: none},t2p
482,Course offerings will have a maximum of ten students and a minimum of three students.,0,{decision: allow; subject: none; action: have; resource: course offerings; condition: none; purpose: none},na
483,A hcp does not have the capacity to read his client's security information and password.,1,"{decision: deny; subject: hcp; action: read; resource: ""clients security information""; purpose: none; condition: none | decision: deny; subject: hcp; action: read; resource: ""clients password""; purpose: none; condition: none}",collected_train
484,The system shall append 20 more activities to the end of the currently listed activities on the same page.,1,{decision: allow; subject: system; action: append; resource: activity; condition: none; purpose: none},acre
485,"when the subject was a diploma, this would not permit that subject to affect grades.",1,{decision: deny; subject: subject; action: affect; resource: grades; purpose: none; condition: subject was a diploma},collected_train
486,"The patient may sort the list of referrals by receiving HCP name, time generated, possibly and possibly priority.",1,{decision: allow; subject: patient; action: sort; resource: list of referrals; purpose: none; condition: none},acre
487,"A patient, patient representative, or LHCP can sort messages in his message inbox by either the sender's last name or timestamp (but not both) in either ascending or descending order (where timestamps in descending order would have the most recent first).",1,{decision: allow; subject: patient; action: sort; resource: message; purpose: none; condition: none | decision: allow; subject: patient representative; action: sort; resource: message; purpose: none; condition: none | decision: allow; subject: lhcp; action: sort; resource: message; purpose: none; condition: none},t2p
488,"He can report the height, weight and pedometer reading for the patient.",1,{decision: allow; subject: he; action: report; resource: height; purpose: none; condition: none | decision: allow; subject: he; action: report; resource: weight; purpose: none; condition: none | decision: allow; subject: he; action: report; resource: pedometer reading; purpose: none; condition: none},t2p
489,"The administrator shall be allowed to assign a LHCP to multiple hospitals, and the administrator can choose among only the hospitals provided in the hospital list pull down menu.",1,{decision: allow; subject: administrator; action: assign; resource: lhcp; purpose: none; condition: none | decision: allow; subject: administrator; action: choose; resource: hospital; purpose: none; condition: none},acre
490,Various other large cities and counties also hope to achieve this so as to enjoy the same status as Taipei .,0,{decision: allow; subject: other large cities; action: achieve; resource: same status as taipei; condition: none; purpose: so as to enjoy the same status as taipei | decision: allow; subject: other large countries; action: achieve; resource: same status as taipei; condition: none; purpose: so as to enjoy the same status as taipei},na
491,Both patients and LHCPs can view a list of their upcoming appointments.,1,{decision: allow; subject: patient; action: view; resource: list of their upcoming appointments; purpose: none; condition: none | decision: allow; subject: lhcp; action: view; resource: list of their upcoming appointments; purpose: none; condition: none},t2p
